IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,INDEX CODE
553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,I
554,ASSAULT,AGG PO HANDS NO/MIN INJURY,N
555,ASSAULT,AGG PRO.EMP: HANDGUN,I
556,ASSAULT,AGG PRO.EMP: OTHER FIREARM,I
557,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,I
558,ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,I
560,ASSAULT,SIMPLE,N
580,STALKING,SIMPLE,N
581,STALKING,AGGRAVATED,N
583,STALKING,CYBERSTALKING,N
584,STALKING,VIOLATION OF STALKING NO CONTACT ORDER,N
610,BURGLARY,FORCIBLE ENTRY,I
620,BURGLARY,UNLAWFUL ENTRY,I
630,BURGLARY,ATTEMPT FORCIBLE ENTRY,I
650,BURGLARY,HOME INVASION,I
810,THEFT,OVER $500,I
820,THEFT,$500 AND UNDER,I
850,THEFT,ATTEMPT THEFT,I
860,THEFT,RETAIL THEFT,I
865,THEFT,DELIVERY CONTAINER THEFT,I
870,THEFT,POCKET-PICKING,I
880,THEFT,PURSE-SNATCHING,I
890,THEFT,FROM BUILDING,I
895,THEFT,FROM COIN-OP MACHINE/DEVICE,I
910,MOTOR VEHICLE THEFT,AUTOMOBILE,I
915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",I
917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",I
918,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE NO VIN",I
920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,I
925,MOTOR VEHICLE THEFT,"ATT: TRUCK, BUS, MOTOR HOME",I
927,MOTOR VEHICLE THEFT,"ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN",I
928,MOTOR VEHICLE THEFT,"ATTEMPT: CYCLE, SCOOTER, BIKE NO VIN",I
930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,I
935,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",I
937,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE W-VIN",I
938,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE NO VIN",I
1010,ARSON,BY EXPLOSIVE,I
1020,ARSON,BY FIRE,I
1025,ARSON,AGGRAVATED,I
1030,ARSON,POS: EXPLOSIVE/INCENDIARY DEV,N
1035,ARSON,POS: CHEMICAL/DRY-ICE DEVICE,N
1050,HUMAN TRAFFICKING,COMMERCIAL SEX ACTS,N
1055,HUMAN TRAFFICKING,INVOLUNTARY SERVITUDE,N
1090,ARSON,ATTEMPT ARSON,I
1110,DECEPTIVE PRACTICE,BOGUS CHECK,N
1120,DECEPTIVE PRACTICE,FORGERY,N
1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,N
1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,N
1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,N
1135,DECEPTIVE PRACTICE,INSURANCE FRAUD,N
1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,N
1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,N
1151,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,N
1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,N
1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,N
1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,N
1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,N
1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,N
1160,DECEPTIVE PRACTICE,ALTER COINS,N
1170,DECEPTIVE PRACTICE,IMPERSONATION,N
1185,DECEPTIVE PRACTICE,DECEPTIVE COLLECTION PRACTICES,N
1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,N
1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,N
1205,DECEPTIVE PRACTICE,"THEFT BY LESSEE,NON-VEH",N
1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",N
1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,N
1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,N
1230,DECEPTIVE PRACTICE,POSS. KEYS OR DEV.TO COIN MACH,N
1235,DECEPTIVE PRACTICE,UNLAWFUL USE OF RECORDED SOUND,N
1240,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,N
1241,DECEPTIVE PRACTICE,AGGRAVATED COMPUTER TAMPERING,N
1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,N
1245,DECEPTIVE PRACTICE,PAY TV SERVICE OFFENSES,N
1255,DECEPTIVE PRACTICE,UNIDENTIFIABLE RECORDING SOUND,N
1260,DECEPTIVE PRACTICE,LIBRARY THEFT,N
1624,GAMBLING,LOTTERY/PARI-MUTUEL,N
1261,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,N
1265,CRIMINAL DAMAGE,LIBRARY VANDALISM,N
1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,N
1310,CRIMINAL DAMAGE,TO PROPERTY,N
1320,CRIMINAL DAMAGE,TO VEHICLE,N
1330,CRIMINAL TRESPASS,TO LAND,N
1335,CRIMINAL TRESPASS,TO AIRPORT,N
1340,CRIMINAL DAMAGE,TO STATE SUP PROP,N
1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,N
1350,CRIMINAL TRESPASS,TO STATE SUP LAND,N
1360,CRIMINAL TRESPASS,TO VEHICLE,N
1365,CRIMINAL TRESPASS,TO RESIDENCE,N
1370,CRIMINAL DAMAGE,TO FIRE FIGHT.APP.EQUIP,N
1375,CRIMINAL DAMAGE,INSTITUTIONAL VANDALISM,N
141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,N
141B,WEAPONS VIOLATION,UNLAWFUL USE OTHER FIREARM,N
141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,N
142A,WEAPONS VIOLATION,UNLAWFUL SALE HANDGUN,N
142B,WEAPONS VIOLATION,UNLAWFUL SALE OTHER FIREARM,N
1435,WEAPONS VIOLATION,UNLAWFUL SALE/DELIVERY OF FIREARM AT SCHOOL,N
143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,N
143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,N
143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,N
1440,WEAPONS VIOLATION,REGISTER OF SALES BY DEALER,N
1450,WEAPONS VIOLATION,DEFACE IDENT MARKS OF FIREARM,N
1460,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,N
1475,WEAPONS VIOLATION,SALE OF METAL PIERCING BULLETS,N
1476,WEAPONS VIOLATION,USE OF METAL PIERCING BULLETS,N
1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,N
1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,N
1479,CONCEALED CARRY LICENSE VIOLATION,ARMED WHILE UNDER THE INFLUENCE,N
1480,CONCEALED CARRY LICENSE VIOLATION,OTHER,N
1481,NON-CRIMINAL,CONCEALED CARRY LICENSE REVOCATION,N
1505,PROSTITUTION,CALL OPERATION,N
1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,N
1507,PROSTITUTION,SOLICIT OFF PUBLIC WAY,N
1510,PROSTITUTION,CAB OPERATION,N
1511,PROSTITUTION,IN TAVERN,N
1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,N
1513,PROSTITUTION,SOLICIT FOR BUSINESS,N
1515,PROSTITUTION,PANDERING,N
1520,PROSTITUTION,KEEP PLACE OF PROSTITUTION,N
1521,PROSTITUTION,KEEP PLACE OF JUV PROSTITUTION,N
1525,PROSTITUTION,PATRONIZING A PROSTITUTE,N
1526,PROSTITUTION,PATRONIZE JUVENILE PROSTITUTE,N
1530,PROSTITUTION,PIMPING,N
1531,PROSTITUTION,JUVENILE PIMPING,N
1535,OBSCENITY,OBSCENITY,N
1536,PUBLIC INDECENCY,LICENSED PREMISE,N
1537,OFFENSE INVOLVING CHILDREN,POS: PORNOGRAPHIC PRINT,N
1540,OBSCENITY,OBSCENE MATTER,N
1541,OBSCENITY,SALE/DIST OBSCENE MAT TO MINOR,N
1542,OBSCENITY,SALE OF OBSCENE MATERIALS,N
1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,N
1549,PROSTITUTION,OTHER PROSTITUTION OFFENSE,N
1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,N
1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,N
1564,SEX OFFENSE,CRIMINAL TRANSMISSION OF HIV,N
1565,SEX OFFENSE,INDECENT SOLICITATION/CHILD,N
1566,SEX OFFENSE,INDECENT SOLICITATION/ADULT,N
1570,SEX OFFENSE,PUBLIC INDECENCY,N
1572,SEX OFFENSE,ADULTRY,N
1574,SEX OFFENSE,FORNICATION,N
1576,SEX OFFENSE,BIGAMY,N
1578,SEX OFFENSE,MARRYING A BIGAMIST,N
1580,SEX OFFENSE,SEX RELATION IN FAMILY,N
1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,N
1585,SEX OFFENSE,OTHER,N
1590,SEX OFFENSE,ATT AGG CRIMINAL SEXUAL ABUSE,N
1610,GAMBLING,BOOKMAKING/HORSES,N
1611,GAMBLING,BOOKMAKING/SPORTS,N
1620,GAMBLING,BOLITA OR BOLI PUL/OFFICE,N
1621,GAMBLING,BOLITA OR BOLI PUL/RUNNER,N
1622,GAMBLING,BOLITA OR BOLI PUL/WRITER,N
1623,GAMBLING,BOLITA OR BOLI PUL/STATION,N
1625,GAMBLING,NATIONAL LOTTERY,N
1626,GAMBLING,ILLEGAL ILL LOTTERY,N
1627,GAMBLING,LOTTERY/OTHER,N
1630,GAMBLING,WIREROOM/HORSES,N
1631,GAMBLING,WIREROOM/SPORTS,N
1632,GAMBLING,WIREROOM/NUMBERS,N
1633,GAMBLING,SPORTS TAMPERING,N
1640,GAMBLING,REGISTER FED GAMBLING STAMP,N
1650,GAMBLING,VIOL CHARITABLE GAME ACT,N
1651,GAMBLING,GAME/CARDS,N
1661,GAMBLING,GAME/DICE,N
1670,GAMBLING,GAME/AMUSEMENT DEVICE,N
1680,GAMBLING,OTHER,N
1681,GAMBLING,LOTTERY/PARLAY CARDS,N
1682,OTHER OFFENSE,ANIMAL FIGHTING,N
1690,GAMBLING,POLICY/HOUSEBOOK,N
1691,GAMBLING,POLICY/STATION,N
1692,GAMBLING,POLICY/RUNNER,N
1693,GAMBLING,POLICY/TURN-IN,N
1694,GAMBLING,POLICY/OFFICE,N
1695,GAMBLING,POLICY/PRESS,N
1696,GAMBLING,POLICY/WHEEL,N
1697,GAMBLING,POLICY/OTHER,N
1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,N
1715,OFFENSE INVOLVING CHILDREN,SALE TOBACCO PRODUCTS TO MINOR,N
1720,OFFENSE INVOLVING CHILDREN,CONTRIBUTE DELINQUENCY OF A CHILD,N
1725,OFFENSE INVOLVING CHILDREN,CONTRIBUTE CRIM DELINQUENCY JUVENILE,N
1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,N
1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,N
1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,N
1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,I
1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,I
1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,N
1775,OFFENSE INVOLVING CHILDREN,SALE OF TRAVEL TICKET TO MINOR,N
1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,N
1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,N
1791,OFFENSE INVOLVING CHILDREN,HARBOR RUNAWAY,N
1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,N
1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,N
1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,N
1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,N
1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,N
1840,NARCOTICS,DELIVER CANNABIS TO PERSON <18,N
1850,NARCOTICS,CANNABIS PLANT,N
1860,NARCOTICS,CALCULATED CANNABIS CONSPIRACY,N
1900,OTHER NARCOTIC VIOLATION,INTOXICATING COMPOUNDS,N
2010,NARCOTICS,MANU/DELIVER:AMPHETAMINES,N
2011,NARCOTICS,MANU/DELIVER:BARBITUATES,N
2012,NARCOTICS,MANU/DELIVER:COCAINE,N
2013,NARCOTICS,MANU/DELIVER: HEROIN(BRN/TAN),N
2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),N
2015,NARCOTICS,MANU/DELIVER: HALLUCINOGEN,N
2016,NARCOTICS,MANU/DELIVER:PCP,N
2017,NARCOTICS,MANU/DELIVER:CRACK,N
2018,NARCOTICS,MANU/DELIVER:SYNTHETIC DRUGS,N
2019,NARCOTICS,MANU/DELIVER:HEROIN(BLACK TAR),N
2020,NARCOTICS,POSS: AMPHETAMINES,N
2021,NARCOTICS,POSS: BARBITUATES,N
2022,NARCOTICS,POSS: COCAINE,N
2023,NARCOTICS,POSS: HEROIN(BRN/TAN),N
2024,NARCOTICS,POSS: HEROIN(WHITE),N
2025,NARCOTICS,POSS: HALLUCINOGENS,N
2026,NARCOTICS,POSS: PCP,N
2027,NARCOTICS,POSS: CRACK,N
2028,NARCOTICS,POSS: SYNTHETIC DRUGS,N
2029,NARCOTICS,POSS: HEROIN(BLACK TAR),N
2030,NARCOTICS,MANU/DELIVER:LOOK-ALIKE DRUG,N
2031,NARCOTICS,POSS: METHAMPHETAMINES,N
2032,NARCOTICS,MANU/DELIVER: METHAMPHETAMINES,N
2033,NARCOTICS,MANU/POSS. W/INTENT TO DELIVER: SYNTHETIC MARIJUANA,N
2034,NARCOTICS,POSSESSION: SYNTHETIC MARIJUANA,N
2040,NARCOTICS,POSS: LOOK-ALIKE DRUGS,N
2050,NARCOTICS,CRIMINAL DRUG CONSPIRACY,N
2060,NARCOTICS,FAIL REGISTER LIC:CONT SUBS,N
2070,NARCOTICS,DEL CONT SUBS TO PERSON <18,N
2080,NARCOTICS,CONT SUBS:FAIL TO MAINT RECORD,N
2090,NARCOTICS,ALTER/FORGE PRESCRIPTION,N
2091,NARCOTICS,FORFEIT PROPERTY,N
2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,N
2093,NARCOTICS,FOUND SUSPECT NARCOTICS,N
2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,N
2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,N
2110,NARCOTICS,POS: HYPODERMIC NEEDLE,N
2111,NARCOTICS,SALE/DEL HYPODERMIC NEEDLE,N
2120,NARCOTICS,FAILURE TO KEEP HYPO RECORDS,N
2160,NARCOTICS,SALE/DEL DRUG PARAPHERNALIA,N
2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,N
2210,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,N
2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,N
2230,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,N
2240,LIQUOR LAW VIOLATION,MINOR MISREPRESENT AGE,N
2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,N
2251,LIQUOR LAW VIOLATION,EMPLOY MINOR,N
2500,CRIMINAL ABORTION,CRIMINAL ABORTION,N
2820,OTHER OFFENSE,TELEPHONE THREAT,N
2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,N
2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,N
2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,N
2840,PUBLIC PEACE VIOLATION,FALSE FIRE ALARM,N
2850,PUBLIC PEACE VIOLATION,BOMB THREAT,N
2851,PUBLIC PEACE VIOLATION,ARSON THREAT,N
2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,N
2870,PUBLIC PEACE VIOLATION,PEEPING TOM,N
2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,N
2895,PUBLIC PEACE VIOLATION,INTERFERE W/ EMERGENCY EQUIP,N
2900,WEAPONS VIOLATION,UNLAWFUL USE/SALE AIR RIFLE,N
3000,PUBLIC PEACE VIOLATION,SELL/ADVERTISE FIREWORKS,N
3100,PUBLIC PEACE VIOLATION,MOB ACTION,N
3200,PUBLIC PEACE VIOLATION,ARMED VIOLENCE,N
3300,PUBLIC PEACE VIOLATION,PUBLIC DEMONSTRATION,N
3400,PUBLIC PEACE VIOLATION,LOOTING,N
3610,OTHER OFFENSE,INTERFERE W/ HIGHER EDUCATION,N
3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,N
3720,INTERFERENCE WITH PUBLIC OFFICER,REFUSING TO AID AN OFFICER,N
3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,N
3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,N
3740,INTERFERENCE WITH PUBLIC OFFICER,CONCEALING/AIDING A FUGITIVE,N
3750,INTERFERENCE WITH PUBLIC OFFICER,ESCAPE,N
3751,INTERFERENCE WITH PUBLIC OFFICER,AIDING ARRESTEE ESCAPE,N
3760,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,N
3770,INTERFERENCE WITH PUBLIC OFFICER,CONTRABAND IN PRISON,N
3800,INTERFERENCE WITH PUBLIC OFFICER,INTERFERENCE JUDICIAL PROCESS,N
3910,INTERFERENCE WITH PUBLIC OFFICER,BRIBERY,N
3920,INTERFERENCE WITH PUBLIC OFFICER,OFFICIAL MISCONDUCT,N
3960,INTIMIDATION,INTIMIDATION,N
3966,INTIMIDATION,EDUCATIONAL INTIMIDAITON,N
3970,INTIMIDATION,EXTORTION,N
3975,INTIMIDATION,COMPELLING ORG MEMBERSHIP,N
3980,INTIMIDATION,COMPELLING CONFESSION,N
4210,KIDNAPPING,KIDNAPPING,N
4220,KIDNAPPING,AGGRAVATED,N
4230,KIDNAPPING,UNLAWFUL RESTRAINT,N
4240,KIDNAPPING,FORCIBLE DETENTION,N
4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,N
4310,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,N
4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,N
4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,N
4388,OTHER OFFENSE,VIO BAIL BOND: DOM VIOLENCE,N
4389,OTHER OFFENSE ,VIOLATION GPS MONITORING DEVICE ,N
4410,OTHER OFFENSE,DESTRUCTION OF DRAFT CARD,N
4420,OTHER OFFENSE,CRIMINAL FORTIFICATION,N
4510,OTHER OFFENSE,PROBATION VIOLATION,N
4625,OTHER OFFENSE,PAROLE VIOLATION,N
4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,N
4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,N
4652,OTHER OFFENSE,SEX OFFENDER: PROHIBITED ZONE,N
4740,OTHER OFFENSE,UNLAWFUL USE OF BODY ARMOR,N
4750,OTHER OFFENSE,DISCLOSE DV VICTIM LOCATION,N
4800,OTHER OFFENSE,MONEY LAUNDERING,N
4810,OTHER OFFENSE,COMPOUNDING A CRIME,N
4860,OTHER OFFENSE,BOARD PLANE WITH WEAPON,N
5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,N
5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,N
5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,N
5003,OTHER OFFENSE,OTHER ARSON/EXPLOSIVE INCIDENT,N
5004,SEX OFFENSE,ATT CRIM SEXUAL ABUSE,N
5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,N
5009,OTHER OFFENSE,VIOLATION OF SMOKING BAN,N
500E,OTHER OFFENSE,EAVESDROPPING,N
500N,OTHER OFFENSE,ABUSE/NEGLECT: CARE FACILITY,N
5011,OTHER OFFENSE,LICENSE VIOLATION,N
501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,N
501H,OTHER OFFENSE,HAZARDOUS MATERIALS VIOLATION,N
502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,N
502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,N
502T,OTHER OFFENSE,TAMPER WITH MOTOR VEHICLE,N
5110,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,N
5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,N
5112,OTHER OFFENSE,GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION,N
5120,OTHER OFFENSE,ARSONIST: DUTY TO REGISTER,N
5121,OTHER OFFENSE,ARSONIST: ANNUAL REGISTRATION,N
5122,OTHER OFFENSE,ARSONIST: FAIL TO REGISTER NEW ADDRESS,N
5130,OTHER OFFENSE,VIOLENT OFFENDER: DUTY TO REGISTER,N
5131,OTHER OFFENSE,VIOLENT OFFENDER: ANNUAL REGISTRATION,N
5132,OTHER OFFENSE,VIOLENT OFFENDER: FAIL TO REGISTER NEW ADDRESS,N
