"X1","X2","X3","X4"
0.5,0.3,9.99,1
6.5,5.85,64.980003,65
3,1.8,30,15
2.5,0.75,12.48,37.5
0.9,0.27,2.97,9
6.5,1.95,21.6,97.5
0.8,0.24,7.98,12
2,1.8,30,10
3,0.9,15,30
0.5,0.15,1.64,5
5,1.5,16.65,75
1.5,0.9,9.99,15
0.6,0.36,12,9
8,2.4,39.959999,40
6.5,3.9,43.290001,32.5
0.7,0.63,6.93,1.4
0.5,0.15,4.98,1
2,1.2,19.98,10
4,2.4,26.639999,60
0.8,0.48,15.99,8
9.5,5.7,63.27,142.5
0.6,0.18,3,9
9.5,2.85,47.459999,95
2,0.6,6.66,20
3,0.9,15,45
6.5,1.95,32.459999,65
0.5,0.45,15,5
0.5,0.45,15,2.5
6.5,5.85,97.5,65
0.8,0.24,2.64,1.6
0.7,0.63,6.93,1.4
0.5,0.45,4.95,1
0.7,0.63,6.93,3.5
3,1.8,19.98,45
3,1.8,30,30
0.5,0.15,1.64,1
0.9,0.27,9,1.8
0.9,0.27,9,13.5
1.5,1.35,22.5,22.5
0.7,0.21,6.99,3.5
4,1.2,13.32,40
0.7,0.42,13.98,7
0.9,0.54,9,13.5
3,0.9,9.99,45
2,1.2,19.98,10
9.5,2.85,31.59,95
0.9,0.81,13.5,9
0.6,0.36,3.96,6
0.6,0.36,6,3
3,1.8,19.98,45
0.7,0.42,4.64,3.5
0.6,0.36,3.96,6
4,1.2,13.32,20
0.5,0.45,4.95,5
4,1.2,19.98,40
0.9,0.27,9,9
0.8,0.24,7.98,1.6
8,7.2,79.919998,120
0.6,0.18,6,9
0.5,0.45,7.5,2.5
8,2.4,26.639999,120
6.5,1.95,32.459999,32.5
0.7,0.21,6.99,7
0.8,0.24,3.96,1.6
0.5,0.3,4.98,5
2,1.8,19.98,30
0.9,0.54,5.94,13.5
0.6,0.36,3.96,3
0.8,0.48,7.98,12
0.7,0.42,4.64,7
1.5,1.35,22.5,7.5
0.7,0.21,3.48,1.4
4,2.4,26.639999,20
0.9,0.27,4.5,13.5
8,7.2,120,120
0.7,0.21,3.48,7
5,3,49.98,75
0.7,0.21,6.99,1.4
0.7,0.21,6.99,1.4
11,3.3,54.959999,165
3,1.8,30,45
2,1.2,13.32,30
0.7,0.21,2.3,7
6.5,3.9,64.980003,97.5
0.9,0.54,5.94,9
8,4.8,79.980003,120
0.6,0.36,3.96,3
1.5,1.35,22.5,15
2.5,1.5,16.65,12.5
0.6,0.54,9,3
0.8,0.24,2.64,4
0.7,0.42,4.64,3.5
8,2.4,26.639999,80
0.6,0.54,5.94,3
0.6,0.36,6,6
0.8,0.72,7.92,4
6.5,5.85,64.980003,97.5
0.8,0.48,5.31,12
0.7,0.21,6.99,3.5
0.6,0.54,18,9
0.9,0.54,18,9
8,4.8,79.980003,40
8,2.4,39.959999,16
6.5,5.85,97.5,97.5
0.8,0.48,5.31,1.6
4,3.6,60,40
5,1.5,16.65,75
0.6,0.18,6,1.2
0.8,0.48,15.99,8
0.8,0.48,5.31,8
2,1.2,13.32,10
4,3.6,39.959999,60
2,0.6,9.96,4
0.7,0.42,4.64,3.5
0.6,0.18,6,3
1.5,1.35,14.94,7.5
11,6.6,73.260002,55
2.5,1.5,16.65,37.5
11,3.3,36.630001,110
0.6,0.18,1.98,3
2.5,1.5,16.65,5
0.8,0.24,2.64,8
0.9,0.54,9,13.5
6.5,1.95,32.459999,13
0.7,0.42,13.98,3.5
8,7.2,79.919998,40
0.5,0.15,2.46,2.5
2.5,1.5,24.959999,12.5
8,2.4,26.639999,80
0.6,0.54,9,3
3,2.7,45,15
9.5,2.85,31.59,47.5
0.7,0.42,13.98,10.5
8,4.8,79.980003,40
0.5,0.3,3.33,1
2.5,2.25,37.5,25
6.5,1.95,21.6,97.5
0.6,0.36,6,3
2,0.6,6.66,10
2.5,0.75,8.28,37.5
2.5,1.5,16.65,37.5
0.7,0.21,6.99,3.5
0.6,0.18,1.98,1.2
0.5,0.45,7.5,2.5
0.9,0.54,18,4.5
0.9,0.81,9,13.5
9.5,8.55,142.5,47.5
2.5,0.75,12.48,37.5
0.7,0.63,6.93,1.4
0.8,0.72,12,8
0.6,0.36,6,1.2
0.5,0.15,4.98,2.5
0.8,0.48,5.31,8
0.9,0.27,4.5,4.5
0.8,0.48,15.99,12
9.5,5.7,63.27,19
0.7,0.42,6.96,3.5
3,0.9,15,6
8,2.4,39.959999,80
0.5,0.15,2.46,1
8,2.4,39.959999,16
0.6,0.36,3.96,6
1.5,1.35,22.5,22.5
2,1.2,19.98,20
11,3.3,54.959999,110
0.5,0.15,4.98,7.5
4,2.4,39.959999,60
0.9,0.27,4.5,4.5
0.7,0.63,6.93,10.5
6.5,3.9,43.290001,32.5
6.5,1.95,32.459999,13
11,6.6,73.260002,55
5,1.5,24.959999,75
0.8,0.72,12,4
8,4.8,53.279999,80
0.6,0.18,1.98,6
0.9,0.54,9,13.5
0.5,0.15,1.64,5
0.7,0.42,13.98,7
2.5,1.5,16.65,12.5
4,1.2,13.32,8
9.5,5.7,63.27,47.5
9.5,8.55,142.5,95
11,3.3,54.959999,22
2,1.8,19.98,20
0.6,0.36,12,9
9.5,2.85,47.459999,47.5
4,2.4,39.959999,60
8,7.2,79.919998,120
4,2.4,26.639999,40
0.6,0.18,1.98,1.2
0.9,0.54,18,9
3,2.7,29.969999,45
0.5,0.15,4.98,1
11,3.3,36.630001,110
0.5,0.45,7.5,5
0.6,0.18,6,9
6.5,3.9,64.980003,97.5
0.6,0.54,18,3
0.5,0.45,15,2.5
0.5,0.45,4.95,2.5
8,7.2,120,80
0.9,0.27,9,13.5
2,0.6,6.66,30
0.6,0.18,3,3
5,4.5,75,75
0.7,0.42,4.64,1.4
0.5,0.45,7.5,7.5
5,4.5,49.950001,75
0.9,0.54,9,4.5
3,0.9,9.99,30
9.5,8.55,94.949997,47.5
2.5,1.5,24.959999,37.5
1.5,0.9,9.99,22.5
0.6,0.18,6,1.2
0.7,0.21,2.3,7
8,7.2,79.919998,80
0.8,0.24,2.64,12
0.5,0.15,4.98,7.5
2.5,0.75,8.28,5
2,0.6,6.66,30
0.8,0.24,2.64,8
0.7,0.42,6.96,7
0.6,0.18,6,6
9.5,5.7,94.980003,142.5
1.5,0.45,4.95,22.5
8,4.8,79.980003,80
3,0.9,9.99,30
0.8,0.48,7.98,12
2,0.6,6.66,4
0.9,0.27,2.97,1.8
0.5,0.15,1.64,2.5
0.5,0.3,4.98,2.5
6.5,1.95,21.6,13
0.5,0.15,4.98,7.5
5,3,49.98,25
6.5,1.95,21.6,32.5
2,1.8,30,10
5,1.5,24.959999,10
0.5,0.15,2.46,1
0.7,0.63,10.5,7
6.5,5.85,64.980003,97.5
0.5,0.3,3.33,2.5
0.7,0.21,2.3,1.4
2,1.2,13.32,10
3,0.9,9.99,6
2,0.6,6.66,4
2,1.8,19.98,20
4,2.4,39.959999,60
4,2.4,26.639999,8
4,2.4,26.639999,20
8,4.8,53.279999,16
0.8,0.72,12,4
3,1.8,19.98,15
5,3,33.299999,50
5,4.5,75,25
11,3.3,54.959999,55
11,6.6,73.260002,110
9.5,5.7,63.27,95
4,1.2,19.98,60
11,6.6,73.260002,110
0.8,0.24,7.98,8
3,2.7,29.969999,15
9.5,8.55,142.5,47.5
2,1.2,13.32,10
0.6,0.36,3.96,1.2
8,7.2,120,80
0.5,0.15,1.64,7.5
0.7,0.21,2.3,3.5
1.5,1.35,14.94,22.5
5,1.5,16.65,25
2,1.8,30,30
2.5,1.5,16.65,25
0.9,0.54,18,4.5
0.7,0.42,4.64,10.5
0.5,0.45,7.5,5
11,3.3,36.630001,165
5,4.5,49.950001,25
0.6,0.36,12,6
0.5,0.15,1.64,2.5
2.5,1.5,24.959999,12.5
6.5,3.9,43.290001,97.5
0.7,0.42,13.98,3.5
6.5,1.95,21.6,32.5
9.5,2.85,47.459999,19
0.6,0.54,9,9
5,3,33.299999,75
0.7,0.21,2.3,3.5
4,3.6,60,60
0.9,0.27,2.97,4.5
5,4.5,49.950001,50
2.5,1.5,16.65,5
0.5,0.15,2.46,7.5
11,3.3,36.630001,55
0.6,0.36,12,9
1.5,1.35,14.94,7.5
0.6,0.54,18,9
6.5,5.85,97.5,97.5
9.5,2.85,31.59,95
6.5,1.95,32.459999,97.5
0.8,0.24,7.98,12
5,1.5,24.959999,25
3,2.7,45,30
0.6,0.54,5.94,3
0.9,0.54,5.94,9
2,1.2,19.98,30
0.5,0.45,15,1
3,0.9,15,30
0.5,0.45,4.95,7.5
4,2.4,26.639999,60
0.9,0.81,13.5,4.5
2.5,0.75,12.48,5
2,1.2,13.32,30
0.5,0.45,7.5,2.5
9.5,5.7,63.27,142.5
1.5,0.9,15,7.5
0.8,0.72,12,4
0.9,0.54,9,9
0.7,0.21,2.3,10.5
0.5,0.45,15,1
0.6,0.18,3,1.2
0.8,0.48,5.31,4
1.5,1.35,14.94,15
6.5,5.85,97.5,32.5
0.9,0.27,9,13.5
1.5,0.9,15,15
2,1.8,30,30
0.5,0.45,15,7.5
2.5,2.25,24.93,37.5
2.5,0.75,8.28,12.5
0.7,0.42,6.96,10.5
0.8,0.24,3.96,12
0.8,0.24,7.98,12
0.5,0.15,4.98,5
9.5,5.7,94.980003,95
0.5,0.15,4.98,5
5,1.5,24.959999,50
0.5,0.3,3.33,7.5
0.9,0.27,9,4.5
0.8,0.72,7.92,12
9.5,2.85,47.459999,47.5
0.5,0.45,4.95,2.5
2.5,0.75,12.48,25
5,1.5,24.959999,10
2,0.6,9.96,30
4,2.4,39.959999,20
0.7,0.21,3.48,3.5
0.8,0.24,2.64,12
0.6,0.54,5.94,6
11,3.3,36.630001,22
0.5,0.15,4.98,5
4,1.2,13.32,20
6.5,3.9,64.980003,97.5
0.8,0.24,3.96,4
0.9,0.27,9,1.8
8,7.2,79.919998,40
0.6,0.54,18,6
5,3,33.299999,50
3,1.8,30,45
6.5,3.9,43.290001,13
5,3,49.98,50
2.5,2.25,24.93,37.5
4,1.2,13.32,8
0.7,0.21,3.48,1.4
0.9,0.81,9,4.5
8,7.2,79.919998,80
0.9,0.27,2.97,13.5
4,3.6,39.959999,40
0.8,0.72,12,12
0.7,0.63,6.93,10.5
0.9,0.27,9,1.8
0.8,0.48,15.99,4
1.5,1.35,14.94,7.5
0.6,0.18,1.98,1.2
3,0.9,15,15
0.9,0.54,5.94,4.5
8,7.2,120,120
0.9,0.27,4.5,13.5
0.5,0.45,15,5
8,2.4,26.639999,40
0.6,0.36,3.96,1.2
0.8,0.24,7.98,8
0.5,0.15,4.98,2.5
3,0.9,9.99,30
0.7,0.21,3.48,1.4
0.7,0.63,6.93,7
0.8,0.48,7.98,12
0.6,0.18,3,3
2.5,0.75,8.28,25
0.9,0.54,18,13.5
0.5,0.45,15,7.5
2,1.8,30,30
5,1.5,24.959999,50
0.7,0.42,13.98,10.5
0.8,0.48,7.98,4
11,3.3,36.630001,165
11,6.6,73.260002,165
0.6,0.54,18,6
9.5,5.7,63.27,95
2.5,2.25,37.5,37.5
0.8,0.48,15.99,1.6
11,6.6,73.260002,22
8,2.4,26.639999,16
9.5,8.55,142.5,95
0.7,0.21,2.3,1.4
0.7,0.21,2.3,1.4
2.5,2.25,24.93,12.5
0.9,0.27,2.97,1.8
1.5,0.9,15,15
6.5,1.95,21.6,97.5
4,3.6,39.959999,60
4,2.4,39.959999,20
11,3.3,54.959999,110
3,1.8,19.98,15
0.7,0.21,6.99,10.5
3,2.7,45,45
2,1.2,13.32,20
8,2.4,26.639999,120
4,2.4,26.639999,40
9.5,8.55,94.949997,47.5
0.7,0.63,10.5,10.5
0.5,0.15,4.98,1
0.7,0.42,4.64,10.5
1.5,1.35,14.94,3
4,1.2,19.98,20
8,2.4,39.959999,80
0.7,0.42,4.64,7
8,7.2,79.919998,120
5,1.5,16.65,50
0.7,0.21,2.3,7
0.6,0.36,3.96,9
0.7,0.42,6.96,10.5
0.9,0.54,18,1.8
0.6,0.18,3,6
0.6,0.36,12,1.2
0.9,0.54,9,4.5
3,2.7,29.969999,30
6.5,3.9,43.290001,65
0.7,0.42,6.96,10.5
5,1.5,16.65,50
6.5,5.85,64.980003,32.5
11,3.3,54.959999,110
1.5,0.9,15,15
9.5,8.55,94.949997,142.5
8,4.8,79.980003,80
2.5,0.75,8.28,5
8,7.2,120,40
0.8,0.72,7.92,12
4,3.6,60,40
8,4.8,79.980003,80
0.6,0.18,3,1.2
9.5,8.55,94.949997,95
0.8,0.24,7.98,1.6
5,1.5,16.65,25
0.7,0.21,2.3,3.5
4,2.4,26.639999,20
0.9,0.54,18,1.8
4,2.4,39.959999,40
9.5,5.7,63.27,47.5
0.8,0.48,5.31,12
0.7,0.21,3.48,10.5
0.8,0.48,5.31,1.6
0.5,0.15,2.46,2.5
0.6,0.54,9,9
11,6.6,73.260002,55
11,3.3,36.630001,55
0.5,0.3,4.98,7.5
0.5,0.3,3.33,1
0.7,0.21,3.48,10.5
6.5,5.85,64.980003,65
11,3.3,54.959999,22
5,1.5,16.65,50
0.8,0.24,2.64,1.6
0.6,0.18,6,6
8,2.4,26.639999,120
5,4.5,49.950001,50
2.5,0.75,12.48,37.5
2,0.6,9.96,20
1.5,0.9,9.99,22.5
6.5,1.95,21.6,65
0.8,0.72,7.92,4
0.8,0.72,7.92,1.6
8,4.8,53.279999,40
5,1.5,16.65,25
6.5,1.95,32.459999,32.5
4,1.2,19.98,20
2,0.6,9.96,10
8,7.2,120,80
2.5,0.75,8.28,12.5
0.7,0.63,6.93,7
1.5,0.9,9.99,7.5
3,2.7,29.969999,30
0.6,0.18,1.98,6
2,0.6,9.96,4
11,3.3,36.630001,165
5,4.5,75,50
5,4.5,49.950001,75
0.9,0.81,13.5,9
0.8,0.24,3.96,8
4,2.4,26.639999,8
0.6,0.36,6,6
0.7,0.63,10.5,7
8,4.8,79.980003,120
0.6,0.54,9,6
5,4.5,75,75
0.5,0.3,9.99,5
0.6,0.36,12,3
0.9,0.54,9,9
2,0.6,6.66,30
8,4.8,79.980003,40
2.5,1.5,16.65,5
0.7,0.63,10.5,3.5
1.5,1.35,22.5,7.5
5,3,49.98,75
0.7,0.42,4.64,7
0.5,0.45,4.95,2.5
1.5,0.9,15,7.5
5,3,49.98,25
0.6,0.36,6,9
0.7,0.63,10.5,7
4,1.2,13.32,8
0.9,0.27,2.97,13.5
8,7.2,120,120
11,3.3,36.630001,22
6.5,5.85,97.5,97.5
0.6,0.54,9,6
9.5,2.85,47.459999,142.5
0.7,0.42,4.64,1.4
9.5,2.85,47.459999,95
4,1.2,19.98,60
0.9,0.27,2.97,9
0.6,0.36,12,6
0.5,0.3,9.99,2.5
1.5,1.35,22.5,22.5
0.9,0.81,9,4.5
3,0.9,15,45
1.5,1.35,14.94,22.5
9.5,2.85,47.459999,19
0.9,0.54,5.94,13.5
3,2.7,45,30
0.5,0.3,9.99,5
3,2.7,45,15
5,1.5,24.959999,75
1.5,0.9,9.99,15
2.5,0.75,8.28,12.5
0.5,0.45,4.95,7.5
0.7,0.63,6.93,10.5
3,0.9,15,6
3,1.8,30,30
0.7,0.42,13.98,10.5
2,1.2,13.32,4
0.9,0.27,2.97,13.5
0.5,0.3,9.99,1
0.6,0.36,3.96,9
3,0.9,15,15
4,1.2,19.98,8
0.9,0.27,9,4.5
2,0.6,6.66,4
0.5,0.15,2.46,1
5,3,33.299999,25
0.5,0.45,4.95,7.5
4,3.6,39.959999,20
0.6,0.18,3,9
0.6,0.18,1.98,9
0.8,0.24,7.98,4
2.5,2.25,24.93,25
0.8,0.48,7.98,8
8,2.4,26.639999,40
0.6,0.36,12,6
0.9,0.54,5.94,1.8
0.5,0.15,2.46,5
2,0.6,9.96,20
0.5,0.15,2.46,5
3,2.7,45,45
0.9,0.27,9,9
2,0.6,6.66,20
0.8,0.24,3.96,4
0.5,0.3,4.98,2.5
0.7,0.21,3.48,10.5
9.5,8.55,94.949997,142.5
8,2.4,26.639999,40
0.9,0.54,5.94,4.5
0.5,0.45,7.5,7.5
0.6,0.18,6,9
0.8,0.24,3.96,12
0.6,0.36,6,1.2
0.6,0.18,3,6
0.8,0.48,7.98,4
3,1.8,19.98,45
0.5,0.45,4.95,1
8,2.4,39.959999,80
6.5,1.95,21.6,13
6.5,1.95,32.459999,32.5
0.6,0.54,5.94,9
2,1.2,13.32,4
4,3.6,60,60
4,3.6,39.959999,20
4,3.6,60,60
2,0.6,9.96,30
1.5,1.35,22.5,15
0.8,0.48,7.98,1.6
5,1.5,24.959999,75
2,1.8,19.98,10
9.5,2.85,31.59,95
0.9,0.27,4.5,9
0.5,0.3,3.33,1
0.6,0.54,5.94,1.2
1.5,0.45,4.95,22.5
0.9,0.54,18,1.8
0.5,0.3,4.98,5
2,0.6,9.96,10
5,4.5,49.950001,50
1.5,0.9,15,22.5
5,3,33.299999,10
0.6,0.36,6,9
0.8,0.48,5.31,12
0.5,0.45,4.95,5
0.9,0.81,9,13.5
1.5,0.9,9.99,7.5
2,1.8,30,10
3,0.9,9.99,15
0.9,0.27,4.5,1.8
0.6,0.18,1.98,6
0.9,0.81,9,9
8,7.2,79.919998,80
0.6,0.18,1.98,3
8,2.4,26.639999,16
2,0.6,9.96,4
5,1.5,16.65,10
0.9,0.81,13.5,4.5
0.5,0.3,4.98,2.5
6.5,3.9,64.980003,65
9.5,5.7,63.27,19
0.9,0.81,9,13.5
6.5,1.95,32.459999,65
4,1.2,13.32,40
0.5,0.3,9.99,1
1.5,0.9,9.99,15
0.6,0.54,9,9
11,3.3,36.630001,22
9.5,2.85,47.459999,95
1.5,0.9,15,22.5
5,3,49.98,50
0.5,0.45,15,2.5
0.5,0.3,3.33,2.5
4,2.4,26.639999,60
3,1.8,19.98,6
0.8,0.72,7.92,8
6.5,1.95,32.459999,65
9.5,2.85,31.59,19
2.5,0.75,12.48,5
6.5,3.9,64.980003,32.5
0.5,0.3,9.99,2.5
4,2.4,39.959999,40
0.6,0.36,12,3
3,1.8,30,30
1.5,1.35,14.94,22.5
0.6,0.54,5.94,6
0.8,0.72,7.92,12
2.5,2.25,24.93,37.5
8,2.4,39.959999,40
4,1.2,13.32,40
6.5,3.9,43.290001,65
0.8,0.24,7.98,4
0.6,0.36,3.96,1.2
0.7,0.42,6.96,7
1.5,1.35,14.94,15
2,0.6,6.66,10
0.7,0.63,6.93,7
8,2.4,39.959999,16
1.5,0.45,4.95,22.5
0.9,0.54,18,13.5
2,1.8,19.98,20
0.9,0.81,9,4.5
11,3.3,36.630001,55
0.8,0.48,5.31,1.6
6.5,3.9,64.980003,32.5
3,2.7,45,30
4,3.6,60,40
11,3.3,54.959999,22
3,2.7,29.969999,45
3,0.9,15,30
6.5,5.85,64.980003,65
1.5,1.35,22.5,7.5
3,2.7,29.969999,15
8,2.4,39.959999,120
0.8,0.24,3.96,8
0.8,0.72,12,8
0.8,0.48,5.31,4
0.6,0.36,6,6
0.6,0.54,5.94,9
2,1.8,30,20
0.5,0.45,15,7.5
6.5,3.9,43.290001,13
0.5,0.3,9.99,7.5
0.5,0.3,9.99,7.5
2.5,2.25,37.5,12.5
0.8,0.48,5.31,8
11,6.6,73.260002,22
6.5,1.95,21.6,32.5
9.5,8.55,142.5,47.5
3,1.8,19.98,15
1.5,0.9,9.99,22.5
2.5,2.25,24.93,25
4,1.2,19.98,20
3,1.8,19.98,30
0.5,0.45,7.5,7.5
11,3.3,54.959999,165
11,3.3,54.959999,55
0.5,0.15,1.64,1
0.9,0.27,4.5,1.8
9.5,5.7,94.980003,47.5
9.5,2.85,31.59,19
4,2.4,26.639999,8
0.5,0.15,2.46,5
0.8,0.48,7.98,4
9.5,5.7,94.980003,47.5
0.9,0.81,9,9
8,7.2,120,40
4,1.2,19.98,40
5,3,33.299999,75
2,1.2,19.98,30
0.7,0.21,3.48,3.5
0.5,0.3,3.33,5
0.9,0.54,5.94,4.5
8,4.8,53.279999,40
1.5,0.9,15,22.5
6.5,3.9,43.290001,97.5
0.8,0.72,7.92,4
0.6,0.54,5.94,9
5,4.5,49.950001,25
0.5,0.45,7.5,5
6.5,3.9,64.980003,32.5
3,1.8,30,15
2.5,2.25,37.5,12.5
2,1.8,19.98,4
0.5,0.3,3.33,7.5
0.8,0.48,15.99,1.6
9.5,5.7,63.27,19
0.8,0.72,7.92,8
0.6,0.18,3,3
8,4.8,53.279999,40
0.8,0.72,7.92,8
2.5,2.25,24.93,25
3,0.9,9.99,45
0.6,0.18,3,9
2,1.2,19.98,20
0.8,0.24,7.98,8
5,3,33.299999,25
0.7,0.21,6.99,7
0.5,0.15,1.64,7.5
5,3,33.299999,25
6.5,3.9,64.980003,65
8,2.4,39.959999,120
0.6,0.36,3.96,3
0.6,0.54,5.94,3
0.6,0.54,5.94,6
