"X1","X2","X3","X4","X5","X6","X7","X8"
251.399994,0,118.300003,188.5,5.8,1028.400024,757.700012,3
375,93.800003,0,126.599998,23.4,852.099976,992.599976,56
142,167,130,174,11,883,785,28
164,0,200,181,13,849,846,28
272.799988,105.099998,81.800003,209.699997,9,904,679.700012,28
233.800003,0,94.599998,197.899994,4.6,947,852.200012,56
446,24,79,162,11.6,967,712,28
212.5,0,100.400002,159.300003,8.7,1007.799988,903.599976,14
236,157,0,192,0,972.599976,749.099976,7
190.699997,0,125.400002,162.100006,7.8,1090,804,100
304,76,0,228,0,932,670,28
238,0,0,186,0,1119,789,7
342,38,0,228,0,932,670,270
304,76,0,228,0,932,670,270
362.600006,189,0,164.899994,11.6,944.700012,755.799988,91
173.5,50.099998,173.5,164.800003,6.5,1006.200012,793.5,56
307,0,0,193,0,968,812,28
401.799988,94.699997,0,147.399994,11.4,946.799988,852.099976,56
151.600006,0,111.900002,184.399994,7.9,992,815.900024,28
359,19,141,154,10.9,942,801,28
355,19,97,145,12.3,967,871,28
108.300003,162.399994,0,203.5,0,938.200012,849,90
212,0,124.800003,159,7.8,1085.400024,799.5,3
382.5,0,0,185.699997,0,1047.800049,739.299988,28
231.800003,0,121.599998,174,6.7,1056.400024,778.5,3
252,0,0,186,0,1111,784,7
156,178,187,221,7,854,614,28
178,129.800003,118.599998,179.899994,3.6,1007.299988,746.799988,14
310,0,0,192,0,1012,830,3
349,0,0,192,0,1047,806,90
393,0,0,192,0,940.599976,785.599976,90
286.299988,200.899994,0,144.699997,11.2,1004.599976,803.700012,7
165,128.5,132.100006,175.100006,8.1,1005.799988,746.599976,56
313,145,0,127,8,1000,822,28
166,259.700012,0,183.199997,12.7,858.799988,826.799988,28
237.5,237.5,0,228,0,932,594,90
540,0,0,173,0,1125,613,270
212,0,124.800003,159,7.8,1085.400024,799.5,28
190.300003,0,125.199997,161.899994,9.9,1088.099976,802.599976,56
275.100006,0,121.400002,159.5,9.9,1053.599976,777.5,100
166.100006,0,163.300003,176.5,4.5,1058.599976,780.099976,100
277,0,0,191,0,968,856,3
218.199997,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,100
326,166,0,174,9,882,790,28
143,169.399994,142.699997,190.699997,8.4,967.400024,643.5,28
236,157,0,192,0,972.599976,749.099976,28
290.200012,193.5,0,185.699997,0,998.200012,704.299988,7
321,0,128,182,11,870,780,28
198.600006,132.399994,0,192,0,978.400024,825.5,180
218.199997,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,56
225,0,0,181,0,1113,833,7
297,0,0,186,0,1040,734,7
246.800003,0,125.099998,143.300003,12,1086.800049,800.900024,14
213.800003,98.099998,24.5,181.699997,6.7,1066,785.5,56
305.299988,203.5,0,203.5,0,965.400024,631,90
491,26,123,210,3.9,882,699,3
251.800003,0,99.900002,146.100006,12.4,1006,899.799988,14
304,76,0,228,0,932,670,365
425,106.300003,0,153.5,16.5,852.099976,887.099976,28
183.899994,122.599998,0,203.5,0,959.200012,800,28
382,0,0,186,0,1047,739,28
203.5,305.299988,0,203.5,0,963.400024,630,28
213.699997,98.099998,24.5,181.699997,6.9,1065.800049,785.400024,100
275,0,0,183,0,1088,808,7
297.200012,0,117.5,174.800003,9.5,1022.799988,753.5,3
139.899994,132.600006,103.300003,200.300003,7.4,916,753.400024,28
397,0,0,185.699997,0,1040.599976,734.299988,7
190,190,0,228,0,932,670,270
475,118.800003,0,181.100006,8.9,852.099976,781.5,7
366,187,0,191.300003,6.6,824.299988,756.900024,28
380,95,0,228,0,932,594,90
310,0,0,192,0,970,850,360
425,106.300003,0,153.5,16.5,852.099976,887.099976,56
439,177,0,186,11.1,884.900024,707.900024,91
295.700012,0,95.599998,171.5,8.9,955.099976,859.200012,100
254,0,0,198,0,968,863,3
469,117.199997,0,137.800003,32.200001,852.099976,840.5,3
252.5,0,0,185.699997,0,1111.599976,784.299988,7
143.699997,170.199997,132.600006,191.600006,8.5,814.099976,805.299988,28
302,0,0,203,0,974,817,14
249.100006,0,98.800003,158.100006,12.8,987.799988,889,3
134.699997,0,165.699997,180.199997,10,961,804.900024,28
500,0,0,200,0,1125,613,1
425,106.300003,0,153.5,16.5,852.099976,887.099976,3
145,0,179,202,8,824,869,28
313,0,113,178,8,1002,689,28
222.399994,0,96.699997,189.300003,4.5,967.099976,870.299988,3
297.200012,0,117.5,174.800003,9.5,1022.799988,753.5,28
362.600006,189,0,164.899994,11.6,944.700012,755.799988,91
296,0,0,186,0,1090,769,28
425,106.300003,0,153.5,16.5,852.099976,887.099976,56
144,170,133,192,8,814,805,28
310,143,111,168,22,914,651,28
339,0,0,197,0,968,781,3
375,93.800003,0,126.599998,23.4,852.099976,992.599976,28
528,0,0,185,6.9,920,720,28
266,114,0,228,0,932,670,180
362.600006,189,0,164.899994,11.6,944.700012,755.799988,56
145.699997,172.600006,0,181.899994,3.4,985.799988,816.799988,28
277,0,0,191,0,968,856,90
275.100006,0,121.400002,159.5,9.9,1053.599976,777.5,14
183.899994,122.599998,0,203.5,0,959.200012,800,3
314,145,113,179,8,869,690,28
178,129.800003,118.599998,179.899994,3.6,1007.299988,746.799988,56
374,189.199997,0,170.100006,10.1,926.099976,756.700012,56
424,22,132,178,8.5,822,750,7
425,106.300003,0,151.399994,18.6,936,803.700012,28
153,239,0,200,6,1002,684,28
326.5,0,137.899994,199,10.8,801.099976,792.5,28
446,24,79,162,11.6,967,712,56
516,0,0,162,8.2,801,802,28
385,0,0,186,0,966,763,3
491,26,123,201,3.9,822,699,3
261,100,78,201,9,864,761,28
250,0,0,182,0,1100,820,28
307,0,0,193,0,968,812,3
272.799988,181.899994,0,185.699997,0,1012.400024,714.299988,7
322,0,0,203,0,974,800,14
146.5,114.599998,89.300003,201.899994,8.8,860,829.5,28
225,0,0,181,0,1113,833,28
132,207,161,179,5,867,736,28
159.800003,250,0,168.399994,12.2,1049.300049,688.200012,28
331,0,0,192,0,1025,821,28
480,0,0,192,0,936.200012,712.200012,28
172.399994,13.6,172.399994,156.800003,4.1,1006.299988,856.400024,56
194.699997,0,100.5,165.600006,7.5,1006.400024,905.900024,3
321.399994,0,127.900002,182.5,11.5,870.099976,779.700012,28
183.899994,122.599998,0,203.5,0,959.200012,800,90
214.899994,53.799999,121.900002,155.600006,9.6,1014.299988,780.599976,56
310,0,0,192,0,1012,830,120
439,177,0,186,11.1,884.900024,707.900024,28
356,119,0,160,9,1061,657,28
238.199997,158.800003,0,185.699997,0,1040.599976,734.299988,7
318.799988,212.5,0,155.699997,14.3,852.099976,880.400024,56
212.600006,0,100.400002,159.399994,10.4,1003.799988,903.799988,100
389.899994,189,0,145.899994,22,944.700012,755.799988,56
298,137,107,201,6,878,655,28
152,0,112,184,8,992,816,28
246.800003,0,125.099998,143.300003,12,1086.800049,800.900024,3
168.899994,42.200001,124.300003,158.300003,10.8,1080.800049,796.200012,14
388.600006,97.099998,0,157.899994,12.1,852.099976,925.700012,91
388.600006,97.099998,0,157.899994,12.1,852.099976,925.700012,56
213.699997,0,174.699997,154.800003,10.2,1053.5,776.400024,100
141.300003,212,0,203.5,0,971.799988,748.5,3
148.5,139.399994,108.599998,192.699997,6.1,892.400024,780,28
108.300003,162.399994,0,203.5,0,938.200012,849,3
181.399994,0,167,169.600006,7.6,1055.599976,777.799988,56
272.799988,181.899994,0,185.699997,0,1012.400024,714.299988,28
144,15,195,176,6,1021,709,28
286.299988,200.899994,0,144.699997,11.2,1004.599976,803.700012,3
251.399994,0,118.300003,188.5,5.8,1028.400024,757.700012,14
251.399994,0,118.300003,192.899994,5.8,1043.599976,754.299988,56
326,0,138,199,11,801,792,28
261.899994,110.5,86.099998,195.399994,5,895.200012,732.599976,28
140,164,128,237,6,869,656,28
190.300003,0,125.199997,161.899994,9.9,1088.099976,802.599976,28
147,115,89,202,9,860,829,28
296,0,106.699997,221.399994,10.5,819.200012,778.400024,28
310,0,0,192,0,970,850,28
387,20,94,157,11.6,938,845,7
305.299988,203.5,0,203.5,0,965.400024,631,3
155,183,0,193,9,1047,697,28
387,20,94,157,14.3,938,845,28
376,0,0,214.600006,0,1003.5,762.400024,14
277.200012,97.800003,24.5,160.699997,11.2,1061.699951,782.5,56
166.800003,250.199997,0,203.5,0,975.599976,692.599976,3
255.5,170.300003,0,185.699997,0,1026.599976,724.299988,7
214.899994,53.799999,121.900002,155.600006,9.6,1014.299988,780.599976,28
141.300003,212,0,203.5,0,971.799988,748.5,28
446,24,79,162,11.6,967,712,3
331,0,0,192,0,978,825,90
446,24,79,162,11.6,967,712,7
156,243,0,180,11,1022,698,28
289,0,0,192,0,913.200012,895.299988,7
262,111,86,195,5,895,733,28
491,26,123,201,3.9,822,699,56
231.800003,0,121.599998,174,6.7,1056.400024,778.5,56
236,0,0,194,0,968,885,14
387,20,94,157,14.3,938,845,56
155,183,0,193,9,877,868,28
531.299988,0,0,141.800003,28.200001,852.099976,893.700012,28
272.600006,0,89.599998,198.699997,10.6,931.299988,762.200012,28
446,24,79,162,11.6,967,712,28
184,86,190,213,6,923,623,28
255.300003,98.800003,77,188.600006,6.5,919,749.299988,28
322,0,116,196,10,818,813,28
297.200012,0,117.5,174.800003,9.5,1022.799988,753.5,56
290.399994,0,96.199997,168.100006,9.4,961.200012,865,56
500,0,0,140,4,966,853,28
213.5,0,174.199997,154.600006,11.7,1052.300049,775.5,14
173.800003,93.400002,159.899994,172.300003,9.7,1007.200012,746.599976,3
168,42.099998,163.800003,121.800003,5.7,1058.699951,780.099976,56
469,117.199997,0,137.800003,32.200001,852.099976,840.5,28
332.5,142.5,0,228,0,932,594,365
166.100006,0,163.300003,176.5,4.5,1058.599976,780.099976,3
310,0,0,192,0,1012,830,90
249.100006,0,98.800003,158.100006,12.8,987.799988,889,14
305.299988,203.5,0,203.5,0,965.400024,631,7
520,0,0,170,5.2,855,855,28
491,26,123,201,3.9,822,699,28
173.800003,93.400002,159.899994,172.300003,9.7,1007.200012,746.599976,100
252.300003,0,98.800003,146.300003,14.2,987.799988,889,28
202,11,141,206,1.7,942,801,7
148,0,137,158,16,1002,830,28
362.600006,189,0,164.899994,11.6,944.700012,755.799988,28
213.5,0,174.199997,159.199997,11.7,1043.599976,771.900024,14
314,145.300003,113.199997,178.899994,8,869.099976,690.200012,28
266,114,0,228,0,932,670,28
167,75.400002,167,164,7.9,1007.299988,770.099976,28
424,22,132,168,8.9,822,750,3
475,118.800003,0,181.100006,8.9,852.099976,781.5,56
239.600006,359.399994,0,185.699997,0,941.599976,664.299988,28
379.5,151.199997,0,153.899994,15.9,1134.300049,605,28
133,200,0,192,0,927.400024,839.200012,7
313.799988,0,112.599998,169.899994,10.1,925.299988,782.900024,28
194.699997,0,100.5,170.199997,7.5,998,901.799988,14
181.399994,0,167,169.600006,7.6,1055.599976,777.799988,100
385,0,0,186,0,966,763,1
202,11,141,206,1.7,942,801,28
427.5,47.5,0,228,0,932,594,28
233.800003,0,94.599998,197.899994,4.6,947,852.200012,100
427.5,47.5,0,228,0,932,594,90
236,0,0,194,0,968,885,3
339,0,0,197,0,968,781,7
350,0,0,186,0,1050,770,28
218.899994,0,124.099998,158.5,11.3,1078.699951,794.900024,28
108.300003,162.399994,0,203.5,0,938.200012,849,7
350,0,0,203,0,974,775,14
337.899994,189,0,174.899994,9.5,944.700012,755.799988,7
312.899994,160.5,0,177.600006,9.6,916.599976,759.5,28
203.5,135.699997,0,185.699997,0,1076.199951,759.299988,7
325,0,0,184,0,1063,783,28
400,0,0,187,0,1025,745,28
266.200012,112.300003,87.5,177.899994,10.4,909.700012,744.5,28
182,45.200001,122,170.199997,8.2,1059.400024,780.700012,3
277.100006,0,97.400002,160.600006,11.8,973.900024,875.599976,3
424,22,132,168,8.9,822,750,56
485,0,0,146,0,1120,800,28
136,162,126,172,10,923,764,28
153,102,0,192,0,888,943.099976,3
200,200,0,190,0,1145,660,28
362.600006,189,0,164.899994,11.6,944.700012,755.799988,28
331,0,0,192,0,1025,821,90
446,24,79,162,11.6,967,712,56
323.700012,282.799988,0,183.800003,10.3,942.700012,659.900024,56
182,45.200001,122,170.199997,8.2,1059.400024,780.700012,14
316.100006,210.699997,0,185.699997,0,977,689.299988,28
154.800003,0,142.800003,193.300003,9.1,877.200012,867.700012,28
212.600006,0,100.400002,159.399994,10.4,1003.799988,903.799988,14
190,190,0,228,0,932,670,28
350,0,0,203,0,974,775,7
141.300003,212,0,203.5,0,971.799988,748.5,90
194.699997,0,100.5,170.199997,7.5,998,901.799988,100
246.800003,0,125.099998,143.300003,12,1086.800049,800.900024,28
220.800003,147.199997,0,185.699997,0,1055,744.299988,7
525,0,0,189,0,1125,613,3
139.600006,209.399994,0,192,0,1047,806.900024,3
318.799988,212.5,0,155.699997,14.3,852.099976,880.400024,91
181.399994,0,167,169.600006,7.6,1055.599976,777.799988,3
198.600006,132.399994,0,192,0,978.400024,825.5,360
475,0,0,228,0,932,594,7
349,0,0,192,0,1056,809,3
307,0,0,193,0,968,812,180
375,93.800003,0,126.599998,23.4,852.099976,992.599976,3
251.399994,0,118.300003,188.5,5.8,1028.400024,757.700012,28
531.299988,0,0,141.800003,28.200001,852.099976,893.700012,91
190.300003,0,125.199997,161.899994,9.9,1088.099976,802.599976,3
229.699997,0,118.199997,195.199997,6.1,1028.099976,757.599976,3
469,117.199997,0,137.800003,32.200001,852.099976,840.5,56
401.799988,94.699997,0,147.399994,11.4,946.799988,852.099976,7
212.600006,0,100.400002,159.399994,10.4,1003.799988,903.799988,28
446,24,79,162,11.6,967,712,7
374,189.199997,0,170.100006,10.1,926.099976,756.700012,7
266,114,0,228,0,932,670,270
339,0,0,197,0,968,781,14
387,20,94,157,11.6,938,845,3
375,0,0,186,0,1038,758,28
318.799988,212.5,0,155.699997,14.3,852.099976,880.400024,7
203.5,305.299988,0,203.5,0,963.400024,630,3
139.600006,209.399994,0,192,0,1047,806.900024,7
222.399994,0,96.699997,189.300003,4.5,967.099976,870.299988,100
165,0,143.600006,163.800003,0,1005.599976,900.900024,56
284,15,141,179,5.5,842,801,7
173.800003,93.400002,159.899994,172.300003,9.7,1007.200012,746.599976,14
165,128.5,132.100006,175.100006,8.1,1005.799988,746.599976,100
259.899994,100.599998,78.400002,170.600006,10.4,935.700012,762.900024,28
381.399994,0,0,185.699997,0,1104.599976,784.299988,7
425,106.300003,0,153.5,16.5,852.099976,887.099976,56
331,0,0,192,0,1025,821,3
168.899994,42.200001,124.300003,158.300003,10.8,1080.800049,796.200012,56
333,0,0,192,0,931.200012,842.599976,3
375,0,0,186,0,1038,758,7
250,0,0,182,0,1100,820,7
500,0,0,200,0,1125,613,180
525,0,0,189,0,1125,613,7
295,0,0,185,0,1069,769,28
194.699997,0,100.5,170.199997,7.5,998,901.799988,3
525,0,0,189,0,1125,613,14
322,149,0,186,8,951,709,28
287,121,94,188,9,904,696,28
153.100006,145,113,178.5,8,1001.900024,688.700012,28
251.399994,0,118.300003,192.899994,5.8,1043.599976,754.299988,28
366,187,0,191,7,824,757,28
165,0,143.600006,163.800003,0,1005.599976,900.900024,100
266,114,0,228,0,932,670,365
233.800003,0,94.599998,197.899994,4.6,947,852.200012,3
190.300003,0,125.199997,166.600006,9.9,1079,798.900024,3
254,0,0,198,0,968,863,90
212.600006,0,100.400002,159.399994,10.4,1003.799988,903.799988,3
339,0,0,185,0,1069,754,28
213.699997,0,174.699997,154.800003,10.2,1053.5,776.400024,14
313.299988,262.200012,0,175.5,8.6,1046.900024,611.799988,3
194.699997,0,100.5,165.600006,7.5,1006.400024,905.900024,56
250.199997,166.800003,0,203.5,0,977.599976,694.099976,90
313.299988,262.200012,0,175.5,8.6,1046.900024,611.799988,28
339.200012,0,0,185.699997,0,1069.199951,754.299988,7
446,24,79,162,11.6,967,712,3
238.100006,0,94.099998,186.699997,7,949.900024,847,100
310,0,0,192,0,970,850,90
237.5,237.5,0,228,0,932,594,28
273,0,90,199,11,931,762,28
389.899994,189,0,145.899994,22,944.700012,755.799988,7
379.5,151.199997,0,153.899994,15.9,1134.300049,605,56
331,0,0,192,0,978,825,7
275,0,0,183,0,1088,808,28
385,0,0,186,0,966,763,14
298.200012,0,107,209.699997,11.1,879.599976,744.200012,28
246.800003,0,125.099998,143.300003,12,1086.800049,800.900024,100
203.5,305.299988,0,203.5,0,963.400024,630,7
525,0,0,189,0,1125,613,90
135.699997,203.5,0,185.699997,0,1076.199951,759.299988,28
150,237,0,174,12,1069,675,28
166.800003,250.199997,0,203.5,0,975.599976,692.599976,7
475,118.800003,0,181.100006,8.9,852.099976,781.5,28
500,0,0,151,9,1033,655,28
229.699997,0,118.199997,195.199997,6.1,1028.099976,757.599976,14
133,200,0,192,0,927.400024,839.200012,90
500,0,0,200,0,1125,613,14
102,153,0,192,0,887,942,90
229.699997,0,118.199997,195.199997,6.1,1028.099976,757.599976,100
339,0,0,197,0,968,781,90
331,0,0,192,0,978,825,180
160,188,146,203,11,829,710,28
218.199997,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,28
165,0,150,182,12,1023,729,28
332.5,142.5,0,228,0,932,594,28
236,0,0,194,0,968,885,28
290.200012,193.5,0,185.699997,0,998.200012,704.299988,28
310,0,0,192,0,1012,830,28
159,209,161,201,7,848,669,28
250,0,95.699997,191.800003,5.3,948.900024,857.200012,28
374,189.199997,0,170.100006,10.1,926.099976,756.700012,3
277,0,0,191,0,968,856,28
102,153,0,192,0,887,942,7
374,0,0,190,7,1013,730,28
182,45.200001,122,170.199997,8.2,1059.400024,780.700012,100
147.800003,175.100006,0,171.199997,2.2,1000,828.5,28
213.5,0,174.199997,154.600006,11.7,1052.300049,775.5,28
375,93.800003,0,126.599998,23.4,852.099976,992.599976,91
198.600006,132.399994,0,192,0,978.400024,825.5,3
296,0,0,192,0,1085,765,7
296,0,0,192,0,1085,765,90
475,0,0,162,9.5,1044,662,28
190,190,0,228,0,932,670,90
251.800003,0,99.900002,146.100006,12.4,1006,899.799988,28
284,15,141,179,5.5,842,801,3
158.800003,238.199997,0,185.699997,0,1040.599976,734.299988,7
122.599998,183.899994,0,203.5,0,958.200012,800.099976,3
173.5,50.099998,173.5,164.800003,6.5,1006.200012,793.5,100
212.100006,0,121.599998,180.300003,5.7,1057.599976,779.299988,14
202,11,141,206,1.7,942,801,3
200,0,0,180,0,1125,845,7
166.100006,0,163.300003,176.5,4.5,1058.599976,780.099976,28
266,114,0,228,0,932,670,90
237.5,237.5,0,228,0,932,594,365
380,95,0,228,0,932,594,365
475,0,0,228,0,932,594,365
295.700012,0,95.599998,171.5,8.9,955.099976,859.200012,14
540,0,0,173,0,1125,613,180
446,24,79,162,11.6,967,712,3
425,106.300003,0,153.5,16.5,852.099976,887.099976,3
218.199997,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,14
250,0,95.699997,187.399994,5.5,956.900024,861.200012,56
172.399994,13.6,172.399994,156.800003,4.1,1006.299988,856.400024,3
155,0,143,193,9,877,868,28
168,42.099998,163.800003,121.800003,5.7,1058.699951,780.099976,28
480,0,0,192,0,936.200012,712.200012,3
277,116.800003,91,190.600006,7,946.5,665.599976,28
349,0,0,192,0,1047,806,3
298,0,107,186,6,879,815,28
362.600006,189,0,164.899994,11.6,944.700012,755.799988,3
446,24,79,162,11.6,967,712,28
300,0,120,212,10,878,728,28
290.399994,0,96.199997,168.100006,9.4,961.200012,865,3
212.100006,0,121.599998,180.300003,5.7,1057.599976,779.299988,56
424,22,132,178,8.5,882,750,3
135,105,193,196,6,965,643,28
349,0,0,192,0,1047,806,28
385,0,0,186,0,966,763,28
190.300003,0,125.199997,166.600006,9.9,1079,798.900024,14
322,0,0,203,0,974,800,180
297.799988,137.199997,106.900002,201.300003,6,878.400024,655.299988,28
220.800003,147.199997,0,185.699997,0,1055,744.299988,28
150.699997,0,185.300003,166.699997,15.6,1074.5,678,28
425,106.300003,0,153.5,16.5,852.099976,887.099976,91
397,0,0,185,0,1040,734,28
385,0,0,186,0,966,763,7
350,0,0,203,0,974,775,28
145.399994,0,178.899994,201.699997,7.8,824,868.700012,28
213.699997,98.099998,24.5,181.699997,6.9,1065.800049,785.400024,3
339,0,0,185,0,1069,754,7
446,24,79,162,10.3,967,712,56
333,0,0,192,0,931.200012,842.599976,90
236,0,0,193,0,968,885,7
286.299988,200.899994,0,144.699997,11.2,1004.599976,803.700012,91
425,106.300003,0,153.5,16.5,852.099976,887.099976,91
159.100006,186.699997,0,175.600006,11.3,989.599976,788.900024,28
155,184,143,194,9,880,699,28
153,145,113,178,8,1002,689,28
332.5,142.5,0,228,0,932,594,270
387,20,94,157,13.9,938,845,3
531.299988,0,0,141.800003,28.200001,852.099976,893.700012,7
540,0,0,173,0,1125,613,7
213.5,0,174.199997,159.199997,11.7,1043.599976,771.900024,100
167,75.400002,167,164,7.9,1007.299988,770.099976,56
380,95,0,228,0,932,594,28
286.299988,200.899994,0,144.699997,11.2,1004.599976,803.700012,28
500,0,0,200,0,1125,613,7
218.199997,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,3
231.800003,0,121.599998,174,6.7,1056.400024,778.5,100
255,0,0,192,0,889.799988,945,90
154,174,185,228,7,845,612,28
424,22,132,168,8.9,822,750,28
316.100006,210.699997,0,185.699997,0,977,689.299988,7
277.100006,0,97.400002,160.600006,11.8,973.900024,875.599976,14
446,24,79,162,10.3,967,712,28
475,0,0,228,0,932,594,28
139.600006,209.399994,0,192,0,1047,806.900024,180
273,105,82,210,9,904,680,28
212,0,124.800003,159,7.8,1085.400024,799.5,56
157,236,0,192,0,935.400024,781.200012,28
312.700012,144.699997,0,127.300003,8,999.700012,822.200012,28
237.5,237.5,0,228,0,932,594,270
296,0,0,186,0,1090,769,7
181.899994,272.799988,0,185.699997,0,1012.400024,714.299988,7
252,0,0,185,0,1111,784,28
255,0,0,192,0,889.799988,945,7
299.799988,0,119.800003,211.5,9.9,878.200012,727.599976,28
289,134,0,195,6,924,760,28
148,175,0,171,2,1000,828,28
166.800003,250.199997,0,203.5,0,975.599976,692.599976,90
252.5,0,0,185.699997,0,1111.599976,784.299988,28
349,0,0,192,0,1047,806,7
213.699997,98.099998,24.5,181.699997,6.9,1065.800049,785.400024,14
540,0,0,162,2.5,1055,676,28
166.100006,0,163.300003,176.5,4.5,1058.599976,780.099976,56
178,129.800003,118.599998,179.899994,3.6,1007.299988,746.799988,3
210.699997,316.100006,0,185.699997,0,977,689.299988,7
190.300003,0,125.199997,161.899994,9.9,1088.099976,802.599976,100
277.200012,97.800003,24.5,160.699997,11.2,1061.699951,782.5,28
500,0,0,200,0,1125,613,3
307,0,0,193,0,968,812,365
194.699997,0,100.5,165.600006,7.5,1006.400024,905.900024,14
230,0,118.300003,195.5,4.6,1029.400024,758.599976,3
213.699997,0,174.699997,154.800003,10.2,1053.5,776.400024,3
480,0,0,192,0,936.200012,712.200012,90
314,0,113,170,10,925,783,28
425,106.300003,0,153.5,16.5,852.099976,887.099976,7
362.600006,189,0,164.899994,11.6,944.700012,755.799988,3
213.5,0,174.199997,154.600006,11.7,1052.300049,775.5,100
313,145,0,178,8,1002,689,28
285,190,0,163,7.6,1031,685,28
288,192,0,192,0,932,717.799988,28
230,0,118.300003,195.5,4.6,1029.400024,758.599976,28
288,192,0,192,0,932,717.799988,7
212,141.300003,0,203.5,0,973.400024,750,90
190.300003,0,125.199997,166.600006,9.9,1079,798.900024,56
520,0,0,175,5.2,870,805,28
304,76,0,228,0,932,670,90
309.899994,142.800003,111.199997,167.800003,22.1,913.900024,651.200012,28
289,133.699997,0,194.899994,5.5,924.099976,760.099976,28
252,97,76,194,8,835,821,28
186.199997,124.099998,0,185.699997,0,1083.400024,764.299988,28
173.5,50.099998,173.5,164.800003,6.5,1006.200012,793.5,14
148.100006,0,136.600006,158.100006,16.1,1001.799988,830.099976,28
540,0,0,173,0,1125,613,3
331,0,0,192,0,978,825,28
213.800003,98.099998,24.5,181.699997,6.7,1066,785.5,100
277,0,0,191,0,968,856,180
233.800003,0,94.599998,197.899994,4.6,947,852.200012,14
203.5,305.299988,0,203.5,0,963.400024,630,90
297.200012,0,117.5,174.800003,9.5,1022.799988,753.5,100
203.5,135.699997,0,185.699997,0,1076.199951,759.299988,28
164.199997,0,200.100006,181.199997,12.6,849.299988,846,28
182,45.200001,122,170.199997,8.2,1059.400024,780.700012,56
222.399994,0,96.699997,189.300003,4.5,967.099976,870.299988,28
522,0,0,146,0,896,896,28
380,0,0,228,0,932,670,90
362.600006,189,0,164.899994,11.6,944.700012,755.799988,56
300,0,0,184,0,1075,795,7
277.200012,97.800003,24.5,160.699997,11.2,1061.699951,782.5,100
382,0,0,186,0,1111,784,7
322.5,148.600006,0,185.800003,8.5,951,709.5,28
337.899994,189,0,174.899994,9.5,944.700012,755.799988,91
382,0,0,185,0,1047,739,7
233.800003,0,94.599998,197.899994,4.6,947,852.200012,28
331,0,0,192,0,978,825,3
146,230,0,202,3,827,872,28
342,38,0,228,0,932,670,90
250.199997,166.800003,0,203.5,0,977.599976,694.099976,28
170.300003,155.5,0,185.699997,0,1026.599976,724.299988,28
190.300003,0,125.199997,166.600006,9.9,1079,798.900024,100
255,99,77,189,6,919,749,28
